Rank,Player,Goals,Matches,Ratio,Career span
1,Erwin Helmchen,989+,582,1.7,1924–1951
2,Cristiano Ronaldo,975,1337,0.73,2002–present
3,Josef Bican,950+,624,1.52,1930–1957
4,Ronnie Rooke,934+,1030,0.91,1929–1961
5,Lionel Messi,925,1194,0.77,2003–present
6,Jimmy Jones,840+,760,1.11,1943–1965
7,Ferenc Puskás,802,792,1.01,1943–1967
8,Ferenc Deák,795+,515,1.54,1939–1959
9,Abe Lenstra,790+,850,0.93,1936–1964
10,Romário,785,1003,0.78,1984–2009
11,Pelé,778,851,0.91,1956–1977
12,Tommy Lawton,749+,831,0.9,1935–1957
13,Robert Lewandowski,740,1079,0.69,2004–present
14,Gerd Müller,735,793,0.93,1963–1981
15,Sammy Hughes,722+,752,0.96,1942–1963
16,Joe Bambrick,690+,578,1.19,1925–1943
17,Ernst Wilimowski,683+,484,1.41,1932–1957
18,Tom Waring,672+,736+,0.91,1924–1948
19,Boy Martin,642+,547,1.17,1930–1947
20,Ferenc Bene,634,972,0.65,1959–1985
21,Eusébio,634+,663,0.96,1960–1978
22,Stan Mortensen,628+,822,0.76,1938–1962
23,Fernando Peyroteo,625,380,1.64,1937–1949
24,Joe Smith,617+,903,0.68,1908–1931
25,Frederick Roberts,613+,471,1.3,1922–1937
26,Gyula Zsengellér,611+,650,0.94,1931–1953
27,Luis Suárez,606,1042,0.58,2005–present
28,Jimmy Greaves,590+,842,0.7,1956–1980
29,Uwe Seeler,586,688,0.85,1954–1972
30,Fritz Walter,586+,583,1.01,1938–1959
31,Túlio Maravilha,585,950+,0.62,1987–2014
32,Zlatan Ibrahimović,582,1001,0.58,1999–2023
33,David Wilson,581+,626,0.93,1927–1947
34,Jimmy Kelly,574+,1004,0.57,1925–1957
35,Imre Schlosser,570,464,1.23,1906–1928
36,Glenn Ferguson,570,1085,0.53,1987–2011
37,Franz Binder,569+,431,1.32,1927–1949
38,Charlie Fleming,569,766+,0.74,1947–1965
39,Hughie Gallacher,569+,717,0.79,1920–1940
40,Dixie Dean,568,612,0.93,1923–1940
41,John Aldridge,565+,990,0.57,1976–1998
42,Isidro Lángara,564+,458,1.23,1930–1948
43,Hugo Sánchez,562,956,0.59,1974–1998
44,José Torres,561,615,0.91,1958–1980
45,Jimmy McGrory,558,549,1.02,1922–1938
46,Sándor Kocsis,556,538,1.03,1946–1966
47,Paul Dechamps,552+,612,0.9,1939–1964
48,Dave Halliday,551+,642,0.86,1920–1938
49,Jimmy Smith,550+,521,1.06,1928–1947
50,Zico,546,798,0.68,1971–1994
51,Ferenc Szusza,545,600,0.91,1940–1961
52,Karim Benzema,545,1030,0.53,2004–present
53,Jock Dodds,542,614,0.88,1932–1950
54,József Takács,542,528,1.03,1920–1942
55,Tommy Dickson,539+,775,0.7,1946–1966
56,Otto Harder,538+,324+,1.66,1910–1934
57,Dennis Westcott,535+,587,0.91,1933–1954
58,Joseph Mermans,528,652,0.81,1937–1960
59,Hughie Ferguson,525+,559,0.94,1914–1930
60,Alfredo Di Stéfano,524,720,0.73,1945–1966
61,Nándor Hidegkuti,523,674,0.78,1938–1958
62,Des Dickson,523+,715,0.73,1964–1983
63,Roberto Dinamite,519,869,0.6,1971–1992
64,W. G. Richardson,518+,622,0.83,1928–1946
65,Hans Krankl,518,725,0.71,1970–1989
66,George Brown,517+,711+,0.73,1920–1938
67,Gunnar Nordahl,514+,597,0.86,1936–1961
68,Trevor Thompson,513+,588,0.87,1955–1969
69,Giorgio Chinaglia,512+,707,0.72,1962–1990
70,David McLean,511+,801,0.64,1906–1931
71,György Sárosi,511,607,0.84,1928–1948
72,George Camsell,509+,593,0.86,1923–1942
73,Arthur Rowley,508+,744,0.68,1941–1967
74,Harry Kane,507,782,0.65,2010–present
75,István Avar,507+,449,1.13,1922–1949
76,Raich Carter,506+,843,0.6,1928–1953
77,Dennis Guy,504+,631,0.8,1960–1976
78,Willy van der Kuijlen,504,807,0.62,1962–1983
79,Roger Milla,504+,907,0.56,1968–1996
80,Steve Bloomer,504,755,0.67,1891–1920
81,Albert de Cleyn,503,588,0.86,1933–1955
82,Delio Onnis,502,747,0.67,1966–1986
83,Lajos Tichy,500,628,0.8,1952–1971
